Paper#Ref,Adaptive Systems,Evaluation of Systems and Algorithms,Model Steering and Active Learning,Replication,Report Generation,Understanding the User,Grammar,Graph,Model,Sequence,Classification Models,Pattern Analysis,Probabilistic Models/Prediction,Program Synthesis,Interactive Visual Analysis
II-20: Intelligent and pragmatic analytic categorization of image collections #http://zotero.org/groups/3431/items/PRYCUTRS,1,1,0,0,0,0,3,0,0,0,0,0,0,2,3
Real-time visual navigation in huge image sets using similarity graphs #http://zotero.org/groups/3431/items/T9UJYMHW,1,0,1,0,0,0,3,0,0,0,2,0,2,0,0
ClusterTag: Interactive visualization, clustering and tagging tool for big image collections #http://zotero.org/groups/3431/items/C5YEJ2YL,1,0,0,0,0,1,3,0,0,0,2,0,0,0,0
PRISM: Concept-preserving social image search results summarization #http://zotero.org/groups/3431/items/IA8E5FHA,1,0,0,0,0,1,3,0,0,0,0,2,2,0,0
An Approach to Generate a Caption for an Image Collection Using Scene Graph Generation #http://zotero.org/groups/3431/items/HPDC5VZ6,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0


TODO: Beistrich wird als Trennzeichen verwendet, kann aber auch im Titel vorkommen
